三封直播,#genre#
CHC高清影院,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240325_1/encoder/0/playlist.m3u8?CONTENTID=00000110240325_1
喜剧影院,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240276_1/encoder/0/playlist.m3u8?CONTENTID=00000110240276_1
动作影院,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240277_1/encoder/0/playlist.m3u8?CONTENTID=00000110240277_1
家庭影院,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240278_1/encoder/0/playlist.m3u8?CONTENTID=00000110240278_1
武侠剧场,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240308_1/encoder/0/playlist.m3u8?CONTENTID=00000110240308_1
星影,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240279_1/encoder/0/playlist.m3u8?CONTENTID=00000110240279_1
周口影视,https://dlhls-cdn-mp.zhanqi.tv/zqlive/80918_cr4oy.m3u8
淮阳影视,https://dlhls-cdn-mp.zhanqi.tv/zqlive/199301_y2bWG.m3u8
KiD电影一台,http://101.71.255.229:6610/zjhs/2/10052/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
KiD电影二台,http://101.71.255.229:6610/zjhs/2/10037/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
KiD动画,http://101.71.255.229:6610/zjhs/2/10043/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
周星驰影院,http://218.98.16.2:8088/live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100144102/150/index.m3u8?&encrypt=1
古天乐影院,http://218.98.16.2:8088/live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000744/150/index.m3u8?&encrypt=1
吴京作品集,http://218.98.16.2:8088/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100180867/150/index.m3u8?&encrypt=1
刘德华影院,http://218.98.16.2:8088/live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5102354855/150/index.m3u8?&encrypt=1
新片放映厅,http://218.98.16.2:8088/live.hcs.cmvideo.cn:8088/wd-virtuallive5100030975-75/index.m3u8?&encrypt=1
经典贺岁片,http://218.98.16.2:8088/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100181836/150/index.m3u8?&encrypt=1
每日科幻电影,http://218.98.16.2:8088/live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100172731/150/index.m3u8?&encrypt=1
G+TV华语电影,http://39.135.19.162:18890/PLTV/88888888/224/3221225787/1/index.m3u8?fmt=ts2hls
G+TV海外佳片,http://39.135.19.162:18890/PLTV/88888888/224/3221225786/1/index.m3u8?fmt=ts2hls
G+TV经典剧场,http://39.135.19.162:18890/PLTV/88888888/224/3221225782/1/index.m3u8?fmt=ts2hls
G+TV都市剧场,http://39.135.19.162:18890/PLTV/88888888/224/3221225783/1/index.m3u8?fmt=ts2hls
G+TV谍战剧场,http://39.135.19.162:18890/PLTV/88888888/224/3221225784/1/index.m3u8?fmt=ts2hls
Y+影院,http://111.0.93.5/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229999/index.m3u8?fmt=ts2hls
邵氏,https://dlhls-cdn-mp.zhanqi.tv/zqlive/300610_75vRc.m3u8
邵氏经典老电影,http://tv.kksyw.top/tv_ls123/gn/bilibili.php?id=21759196
邵氏影院,http://tv.kksyw.top/tv_ls123/gn/douyu.php?id=4246519
邵氏电影,http://tv.kksyw.top/tv_ls123/gn/youku.php?id=8022364
怀旧经典,https://dlhls-cdn-mp.zhanqi.tv/zqlive/295519_JkFS8.m3u8
仪陇影视剧,https://dlhls-cdn-mp.zhanqi.tv/zqlive/285305_4Cz3X.m3u8
蓝光影视1台,http://112.50.243.8/PLTV/88888888/224/3221226736/1.m3u8
蓝光影视2台,http://112.50.243.8/PLTV/88888888/224/3221225881/1.m3u8
蓝光影视3台,http://112.50.243.8/PLTV/88888888/224/3221226708/1.m3u8
蓝光影视4台,http://112.50.243.8/PLTV/88888888/224/3221226712/1.m3u8
蓝光影视5台,http://112.50.243.8/PLTV/88888888/224/3221225893/1.m3u8
蓝光影视6台,http://112.50.243.8/PLTV/88888888/224/3221226692/1.m3u8
蓝光影视7台,http://112.50.243.8/PLTV/88888888/224/3221226754/1.m3u8
蓝光动画13台,http://112.50.243.8/PLTV/88888888/224/3221226732/1.m3u8
蓝光动画14台,http://112.50.243.8/PLTV/88888888/224/3221226741/1.m3u8
蓝光动漫15台,http://112.50.243.8/PLTV/88888888/224/3221226743/1.m3u8
蓝光影视16台,http://ivi.bupt.edu.cn/hls/chchd.m3u8
影视直播,#genre#
﻿CIBN精品影院,http://v.iam7.top/iptv/cibn/?id=1108&code=JingPin
CIBN怡家,http://v.iam7.top/iptv/cibn/?id=1108&code=JiaoYu
CIBN生活,http://v.iam7.top/iptv/cibn/?id=1108&code=YouXi
CIBN军事,http://v.iam7.top/iptv/cibn/?id=1108&code=YinYue
CIBN真人秀,http://v.iam7.top/iptv/cibn/?id=1108&code=LuShi
CIBN文旅中国,http://v.iam7.top/iptv/cibn/?id=1108&code=MeiZhuang
CIBN文旅中国,http://v.iam7.top/iptv/cibn/?id=1102&code=MeiZhuang
CIBN嗨播,http://v.iam7.top/iptv/cibn/?id=1108&code=LvYou
CIBN时尚生活,http://v.iam7.top/iptv/cibn/?id=1108&code=DongLinFaYin
CIBN童学世界,http://v.iam7.top/iptv/cibn/?id=1108&code=ReBo
CIBN经典剧场,http://v.iam7.top/iptv/cibn/?id=1108&code=DOTA2
CIBN风尚运动,http://v.iam7.top/iptv/cibn/?id=1108&code=DuShi
CIBN汽车,http://v.iam7.top/iptv/cibn/?id=1108&code=QiChe
CIBN映画,http://v.iam7.top/iptv/cibn/?id=1108&code=TiYu
CIBN情感影院,http://v.iam7.top/iptv/cibn/?id=1108&code=QingGan
CIBN欧洲影院,http://v.iam7.top/iptv/cibn/?id=1102&code=82
CIBN百科实录,http://v.iam7.top/iptv/cibn/?id=1102&code=84
CIBN现身说法,http://v.iam7.top/iptv/cibn/?id=1102&code=86
CIBN时尚前沿,http://v.iam7.top/iptv/cibn/?id=1102&code=87
CIBN动漫剧场,http://v.iam7.top/iptv/cibn/?id=1102&code=99
CIBN动漫剧场,http://v.iam7.top/iptv/cibn/?id=1108&code=QinZi
CIBN宝岛风情,http://v.iam7.top/iptv/cibn/?id=1102&code=88
CIBN佳片影院,http://v.iam7.top/iptv/cibn/?id=1102&code=83
CIBN骄阳剧场,http://v.iam7.top/iptv/cibn/?id=1108&code=JingDian
CIBN健康,http://v.iam7.top/iptv/cibn/?id=1108&code=JianKang
CIBN全电竞,http://v.iam7.top/iptv/cibn/?id=1104&code=115
CIBN今日推荐,http://v.iam7.top/iptv/cibn/?id=1103&code=64
CIBN喜剧影院,http://v.iam7.top/iptv/cibn/?id=1108&code=TongBu
CIBN炫佳动漫,http://v.iam7.top/iptv/cibn/?id=1108&code=DongMan
CIBN微电影,http://v.iam7.top/iptv/cibn/?id=1108&code=WeiDianYing
CIBN朵Y乐园,http://v.iam7.top/iptv/cibn/?id=1108&code=chanwenhua
CIBN热卖推荐,http://v.iam7.top/iptv/cibn/?id=1108&code=400
CIBN院线大片,http://v.iam7.top/iptv/cibn/?id=1108&code=DanJi
CIBN品质生活,http://v.iam7.top/iptv/cibn/?id=1108&code=1
CIBN古装剧场,http://v.iam7.top/iptv/cibn/?id=1108&code=ZongYi
CIBN好莱坞,http://v.iam7.top/iptv/cibn/?id=1108&code=ZongHe
CIBN快乐购物,http://v.iam7.top/iptv/cibn/?id=1108&code=65
CIBN家居用品,http://v.iam7.top/iptv/cibn/?id=1108&code=jiayougouwu
CIBN流金岁月,http://v.iam7.top/iptv/cibn/?id=1108&code=Shoucang
CIBN好物,http://v.iam7.top/iptv/cibn/?id=1108&code=178
CIBN艺术院线,http://v.iam7.top/iptv/cibn/?id=1108&code=YingXiong
CIBN新知,http://v.iam7.top/iptv/cibn/?id=1108&code=FengShang
CIBN电影综合,http://v.iam7.top/iptv/cibn/?id=1108&code=DianYing
CIBN纪录片,http://v.iam7.top/iptv/cibn/?id=1108&code=JiLuPian
CIBN综合,http://v.iam7.top/iptv/cibn/?id=1108&code=DianJing
CIBN动作影院,http://v.iam7.top/iptv/cibn/?id=1108&code=ShengHuo
秒开直播,#genre#
无线财经,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEdHZiZmluYW5jZQ__
J2,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEdHZiajI_
明珠台,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEdHZibXo_
翡翠台,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEdHZiZmM_
星河,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEdHZieGg_
无线新闻,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEdHZibmV3cw__
now直播,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEbm93MzMx
now新闻,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEbm93MzMy
有线财经,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEY2FmaW5hbmNl
有线娱乐,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEY2FlbnQ_
有线新闻,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEY2FuZXdz
c+,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEY3BsdXM_
18,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEY2ExOA__
32,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEcnRoazMy
31,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEcnRoazMx
鳳凰資訊,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pY3VzdCUyM2lkJTNEZmh6eA__
亞視ATV,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pY3VzdCUyM2lkJTNEYXR2
中视新闻,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEenN4dw__
台视新闻,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEdHN4dw__
民视新闻台,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEbXN4dw__
一新闻,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEdHd5eHc_
tvbs新闻,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEdHZic3h3
环宇新闻,http://121.36.220.254:8890/iptv.php?qq1658083247&play&vkeys=dmlkJTNEZm1pbGl2ZSUyM2lkJTNEaHl4dw__
