央视频道,#genre#
青海卫视,http://liveplay-kk.rtxapp.com/live/program/live/qhws/1300000/mnf.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8
云南卫视,http://liveplay-kk.rtxapp.com/live/program/live/ynws/1300000/mnf.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225902/1.m3u8
宁夏卫视,http://39.134.65.162/PLTV/88888888/224/3221225579/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225892/1.m3u8
新疆卫视,http://223.110.243.136:80/PLTV/3/224/3221225523/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
西藏卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
内蒙古卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8

港台频道,#genre#
凤凰中文 HD,http://112.50.243.8/PLTV/88888888/224/3221225900/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226368/index.m3u8
凤凰资讯 HD,http://112.50.243.8/PLTV/88888888/224/3221225901/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
凤凰香港 HD,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8#http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv#http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xianggangweishi_2_hd.m3u8


港台直播,#genre#
凤凰卫视资讯台,http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
凤凰卫视中文台,http://112.17.40.140/PLTV/88888888/224/3221226368/index.m3u8
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
国家地理,http://104.250.154.42:8080/ZZ_hbo/ZZ_hbo.m3u8
百事通台,http://112.17.40.145/PLTV/88888888/224/3221226596/index.m3u8
HKS卫视 高清,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
无线新闻,http://danielwu.gz01.bdysite.com/iptv/?id=wxxw2
无线新闻台,http://45.93.217.106/jiuban/hg.php?id=1
有线新闻台,http://danielwu.gz01.bdysite.com/iptv/?id=yxxw2
亚视ATV,https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_lo.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
Channel[V],rtmp://58.200.131.2:1935/livetv/channelv  
ANTV,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
Channel K,https://d3cs5y5559s57s.cloudfront.net/live/channelk.m3u8
星空卫视,rtmp://58.200.131.2:1935/livetv/startv
三立新聞,http://60.199.188.65/HLS/WG_ETTV-N/02.m3u8

地方直播,#genre#
北京纪实,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
新华中文,http://livecdn1.news.cn/cnccn/manifest.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8

4K 高清,#genre#
纯享4K    UHD,http://112.50.243.8/PLTV/88888888/224/3221226825/1.m3u8
BesTV4K UHD,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8#http://117.148.187.83/PLTV/88888888/224/3221226718/index.m3u8#http://39.134.176.157/PLTV/88888888/224/3221226718/index.m3u8
CCTV4K  UHD,http://112.17.40.12/PLTV/88888888/224/3221226758/index.m3u8

海外直播,#genre#
美国CSBN,https://cbsnhls-i.akamaihd.net/hls/live/264710/cbsn_hlsprod_2/master_360.m3u8
美国Cheddar电视,https://live.chdrstatic.com/cheddar/primary/4.m3u8
高清时装台WFC,http://wfc.bonus-tv.ru:80/cdn/wfcint/tracks-v2a1/index.m3u8
Star Sports,rtmp://ivi.bupt.edu.cn:1935/livetv/starsports
美国 Ⅰ FOX 体育新闻,https://austchannel-live.akamaized.net/hls/live/2002736/austchannel-sport/master1280x720.m3u8
美国 Ⅰ MTV 音乐频道,http://unilivemtveu-lh.akamaihd.net/i/mtvno_1@346424/index_3500_av-b.m3u8
乌克兰 Ⅰ M2 音乐频道,http://live.m2.tv/hls3/stream.m3u8
