央视频道,#genre#
凤凰香港HD,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
百事通台,http://112.17.40.145/PLTV/88888888/224/3221226596/index.m3u8
HKS卫视 高清,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv
无线新闻台,http://45.93.217.106/jiuban/hg.php?id=1
香港亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
Channel[V],
ANTV,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
Channel K,https://d3cs5y5559s57s.cloudfront.net/live/channelk.m3u8
三立新聞, http://liveplay-kk.rtxapp.com/live/program/live/szwshd/4000000/mnf.m3u8
本地卫视,#genre#
北京纪实,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
新华中文,http://livecdn1.news.cn/cnccn/manifest.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
4K频道,#genre#
纯享4K    UHD,http://112.50.243.8/PLTV/88888888/224/3221226825/1.m3u8
BesTV4K UHD,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8#http://117.148.187.83/PLTV/88888888/224/3221226718/index.m3u8#http://39.134.176.157/PLTV/88888888/224/3221226718/index.m3u8
CCTV4K  UHD,http://112.17.40.12/PLTV/88888888/224/3221226758/index.m3u8
海外频道,#genre#
美国CSBN,https://cbsnhls-i.akamaihd.net/hls/live/264710/cbsn_hlsprod_2/master_360.m3u8
美国Cheddar电视,https://live.chdrstatic.com/cheddar/primary/4.m3u8
美国 Ⅰ FOX 体育新闻,https://austchannel-live.akamaized.net/hls/live/2002736/austchannel-sport/master1280x720.m3u8
美国 Ⅰ MTV 音乐频道,http://unilivemtveu-lh.akamaihd.net/i/mtvno_1@346424/index_3500_av-b.m3u8
乌克兰 Ⅰ M2 音乐频道,http://live.m2.tv/hls3/stream.m3u8
海外频道2,#genre#
翡翠台,http://jkk2.luyutv.com/dream.m3u8?id=1d685d898ed5d228&keygemini=55f4da939cba988214f051320d49f74f
翡翠台 b,http://jkk1.luyutv.com/dream.m3u8?id=c4711f7174b133f7&keygemini=55f4da939cba988214f051320d49f74f
無綫新聞台,http://jkk2.luyutv.com/dream.m3u8?id=e5f3e01c5f55ef4b&keygemini=55f4da939cba988214f051320d49f74f
J2,http://jkk2.luyutv.com/dream.m3u8?id=068fdcf35f5da3b3&keygemini=55f4da939cba988214f051320d49f74f
無綫財經資訊台,http://jkk1.luyutv.com/dream.m3u8?id=c778873f91de22e9&keygemini=55f4da939cba988214f051320d49f74f
無綫財經資訊台 b,http://jkk2.luyutv.com/dream.m3u8?id=16d2d4ebba122155&keygemini=55f4da939cba988214f051320d49f74f
有線電影台,http://jkk1.luyutv.com/dream.m3u8?id=bf82e786a3aaf184&keygemini=55f4da939cba988214f051320d49f74f
ViuTV,http://jkk1.luyutv.com/dream.m3u8?id=992a39528e84f9f7&keygemini=55f4da939cba988214f051320d49f74f
TVB星河,http://jkk1.luyutv.com/dream.m3u8?id=4afb9a3087c2673c&keygemini=55f4da939cba988214f051320d49f74f
星空衛视,http://jkk2.luyutv.com/dream.m3u8?id=27f2d87af05bc417&keygemini=55f4da939cba988214f051320d49f74f
